name,code,ngram,cui,term,semtype
Hoarseness,10020201,Hoarseness,C0019825,Hoarseness,{'T184'}
Hostility,10020400,Hostility,C0020039,Hostility,{'T041'}
Hot flashes,10020407,Hot flashes,C0600142,Hot flashes,{'T184'}
Hot flush,10060800,flush,C0016382,flush,{'T184'}
Hot flushes,10020408,Hot flushes,C0600142,Hot flushes,{'T184'}
Humerus fracture,10020462,fracture,C0016658,fracture,{'T037'}
Humerus fracture,10020462,Humerus,C0020164,Humerus,{'T023'}
Hunger,10020466,Hunger,C0020175,Hunger,{'T184'}
Hunger abnormal,10020467,abnormal,C0205161,abnormal,{'T033'}
Hunger abnormal,10020467,Hunger,C0020175,Hunger,{'T184'}
Hyperactive,10020554,Hyperactive,C0424295,hyperactive,{'T048'}
Hyperactivity,10020558,Hyperactivity,C0424295,Hyperactivity,{'T048'}
Hyperglycaemia,10020635,Hyperglycaemia,C0020456,hyperglycaemia,{'T047'}
Hyperglycemia,10020639,Hyperglycemia,C0020456,Hyperglycemia,{'T047'}
Hypertension,10020772,Hypertension,C0020538,Hypertension,{'T047'}
Hypoglycaemia,10020993,Hypoglycaemia,C0020615,Hypoglycaemia,{'T047'}
Hypoglycemia,10021005,Hypoglycemia,C0020615,Hypoglycemia,{'T047'}
Hypotension,10021097,Hypotension,C0020649,Hypotension,{'T033'}
Hypothermia,10021113,Hypothermia,C0020672,Hypothermia,{'T033'}
Hypothyroidism,10021114,Hypothyroidism,C0020676,Hypothyroidism,{'T047'}
Hysteria,10021154,Hysteria,C0020701,Hysteria,{'T048'}
Impacted wax,10021513,Impacted,C0040456,Impacted,{'T033'}
Impaired liver function,10021520,Impaired liver function,C0086565,Impaired liver function,{'T033'}
Impatience,10049976,Impatience,C0919568,impatience,{'T048'}
Implant site infection,10059650,site infection,C0578491,site infection,{'T047'}
Implant site infection,10059650,Implant,C0021102,Implant,{'T074'}
Implant site pain,10063782,Implant,C0021102,Implant,{'T074'}
Implant site pain,10063782,pain,C0030193,pain,{'T184'}
Implant site swelling,10063867,swelling,C0038999,swelling,{'T033'}
Implant site swelling,10063867,Implant,C0021102,Implant,{'T074'}
Impotence,10021550,Impotence,C0242350,Impotence,{'T047'}
Impulsive behaviour,10021567,Impulsive,C0021125,Impulsive,{'T048'}
Impulsive behaviour,10021567,behaviour,C0677505,behaviours,{'T033'}
Inability to lose weight,10049116,lose weight,C1262477,lose weight,{'T033'}
Inability to orgasm,10021574,orgasm,C0029260,orgasm,{'T040'}
Incision site infection,10065616,site infection,C0578491,site infection,{'T047'}
Incision site infection,10065616,Incision,C0184898,Incision,{'T061'}
Incision site pain,10058043,Incision,C0184898,Incision,{'T061'}
Incision site pain,10058043,pain,C0030193,pain,{'T184'}
Incoherent,10021630,Incoherent,C0542044,Incoherent,{'T033'}
Incontinence,10021639,Incontinence,C0021167,Incontinence,{'T047'}
Increased appetite,10021654,Increased appetite,C0232461,Increased appetite,{'T033'}
Increased muscle tone,10021670,Increased muscle tone,C0026826,Increased muscle tone,{'T033'}
Increased salivation,10021677,salivation,C0037036,salivation,{'T047'}
Increased salivation,10021677,Increased,C1295665,Increased T4,{'T033'}
Increased sexual arousal,10021679,sexual arousal,C0233972,sexual arousal,{'T039'}
Increased sexual arousal,10021679,Increased,C1295665,Increased T4,{'T033'}
Increased skin sensitivity,10021681,Increased skin sensitivity,C0520901,Increased skin sensitivity,{'T184'}
Increased stool frequency,10048456,stool,C0015733,stool,{'T031'}
Increased stool frequency,10048456,frequency,C2347273,Frequency,{'T170'}
Increased stool frequency,10048456,Increased,C1295665,Increased T4,{'T033'}
Increased tendency to bruise,10021688,Increased tendency to bruise,C0423798,Increased tendency to bruise,{'T033'}
Indifference,10021703,Indifference,C0085632,Indifference,{'T048'}
Indigestion,10021706,Indigestion,C0013395,Indigestion,{'T184'}
Infantile spitting up,10063338,spitting,C0232515,spitting,{'T039'}
Infarction,10061216,Infarction,C0021308,Infarction,{'T046'}
Infected cyst,10058015,Infected,C0439663,Infected,{'T033'}
Infected cyst,10058015,cyst,C0010709,cyst,{'T047'}
Infected skin ulcer,10021784,skin ulcer,C0037299,skin ulcer,{'T047'}
Infected skin ulcer,10021784,Infected,C0439663,Infected,{'T033'}
Infection,10021789,Infection,C0009450,Infection,{'T047'}
Infertility,10021926,Infertility,C0021359,Infertility,{'T046'}
Inflammation,10061218,Inflammation,C0021368,Inflammation,{'T046'}
Inflammation lips,10049345,Inflammation,C0021368,Inflammation,{'T046'}
Inflammation lips,10049345,lips,C0023759,lips,{'T023'}
Inflammation of eyelids,10021962,Inflammation of eyelids,C0005741,Inflammation of eyelids,{'T047'}
Inflammatory bowel disease,10021972,Inflammatory bowel disease,C0021390,Inflammatory bowel disease,{'T047'}
Influenza,10022000,Influenza,C0021400,Influenza,{'T047'}
Influenza like illness,10022004,Influenza,C0021400,Influenza,{'T047'}
Influenza like illness,10022004,illness,C0221423,illness,{'T184'}
Infrequent bowel movements,10059158,Infrequent bowel movements,C0401149,Infrequent bowel movements,{'T184'}
Infusion site infection,10054997,site infection,C0578491,site infection,{'T047'}
Infusion site infection,10054997,Infusion,C0574032,Infusion,{'T061'}
Infusion site pain,10053483,Infusion,C0574032,Infusion,{'T061'}
Infusion site pain,10053483,pain,C0030193,pain,{'T184'}
Infusion site swelling,10053505,Infusion,C0574032,Infusion,{'T061'}
Infusion site swelling,10053505,swelling,C0038999,swelling,{'T033'}
Inguinal hernia,10022016,Inguinal,C0018246,Inguinal,{'T029'}
Injection site abscess,10022044,Injection,C1533685,Injection,{'T061'}
Injection site abscess,10022044,abscess,C0000833,abscess,{'T047'}
Injection site bleeding,10022049,Injection,C1533685,Injection,{'T061'}
Injection site bleeding,10022049,bleeding,C0019080,bleeding,{'T046'}
Injection site blisters,10022051,Injection,C1533685,Injection,{'T061'}
Injection site blisters,10022051,blisters,C0344311,blisters,{'T033'}
Injection site bruising,10022052,Injection site bruising,C0521508,Injection site bruising,{'T046'}
Injection site burning,10022053,Injection,C1533685,Injection,{'T061'}
Injection site burning,10022053,burning,C0085624,burning,{'T184'}
Injection site discomfort,10054266,discomfort,C2364135,discomfort,{'T184'}
Injection site discomfort,10054266,Injection,C1533685,Injection,{'T061'}
Injection site infection,10022076,site infection,C0578491,site infection,{'T047'}
Injection site infection,10022076,Injection,C1533685,Injection,{'T061'}
Injection site inflammation,10022078,inflammation,C0021368,inflammation,{'T046'}
Injection site inflammation,10022078,Injection,C1533685,Injection,{'T061'}
Injection site injury,10066083,Injection,C1533685,Injection,{'T061'}
Injection site injury,10066083,injury,C3263723,injury,{'T037'}
Injection site itching,10022080,Injection,C1533685,Injection,{'T061'}
Injection site itching,10022080,itching,C0033774,itching,{'T033'}
Injection site lump,10071292,Injection,C1533685,Injection,{'T061'}
Injection site lump,10071292,lump,C0577559,lump,{'T033'}
Injection site nodule,10057880,Injection,C1533685,Injection,{'T061'}
Injection site nodule,10057880,nodule,C0228505,nodules,{'T023'}
Injection site pain,10022086,Injection,C1533685,Injection,{'T061'}
Injection site pain,10022086,pain,C0030193,pain,{'T184'}
Injection site rash,10022094,Injection,C1533685,Injection,{'T061'}
Injection site rash,10022094,rash,C0015230,rash,{'T184'}
Injection site redness,10022098,Injection,C1533685,Injection,{'T061'}
Injection site redness,10022098,redness,C0332575,redness,{'T033'}
Injection site swelling,10053425,Injection,C1533685,Injection,{'T061'}
Injection site swelling,10053425,swelling,C0038999,swelling,{'T033'}
Injection site warmth,10022112,Injection,C1533685,Injection,{'T061'}
Injection site warmth,10022112,warmth,C0392197,warmth,{'T039'}
Injury to kidney,10022221,Injury to kidney,C0160420,Injury to kidney,{'T037'}
Insomnia,10022437,Insomnia,C0917801,Insomnia,{'T184'}
Internal bleeding,10075196,Internal bleeding,C1390214,Internal bleeding,{'T046'}
Intestinal bleeding,10071824,Intestinal bleeding,C0267373,Intestinal bleeding,{'T047'}
Intestinal obstruction,10022687,Intestinal obstruction,C0021843,Intestinal obstruction,{'T047'}
Intestinal perforation,10022694,Intestinal perforation,C0021845,Intestinal perforation,{'T047'}
Intestinal polyp,10048616,Intestinal,C0021853,Intestinal,{'T023'}
Intraocular pressure increased,10022806,pressure,C0460139,pressure,{'T033'}
Intraocular pressure increased,10022806,increased,C0151576,increased ck,{'T033'}
Iron deficiency,10022970,Iron deficiency,C0240066,Iron deficiency,{'T047'}
Irregular periods,10022993,Irregular periods,C0156404,Irregular periods,{'T033'}
Irritability,10022998,Irritability,C0022107,Irritability,{'T033'}
Irritable,10023000,Irritable,C0022107,Irritable,{'T033'}
Irritable bowel,10023002,Irritable,C0022107,Irritable,{'T033'}
Irritable bowel,10023002,bowel,C0021853,bowel,{'T023'}
Irritable bowel syndrome,10023003,Irritable bowel syndrome,C0022104,Irritable bowel syndrome,{'T047'}
Irritation lips,10049342,Irritation,C1706307,Irritation,{'T033'}
Irritation lips,10049342,lips,C0023759,lips,{'T023'}
Itching,10023084,Itching,C0033774,Itching,{'T033'}
Itching all over,10023086,Itching,C0033774,Itching,{'T033'}
Itching both hands,10023087,Itching,C0033774,Itching,{'T033'}
Itching both hands,10023087,hands,C0018563,hands,{'T023'}
Itchy eyes,10023090,eyes,C0015392,eyes,{'T023'}
Itchy legs,10023091,legs,C1140621,legs,{'T023'}
Itchy rash,10023092,rash,C0015230,rash,{'T184'}
Itchy scalp,10023093,scalp,C0036270,scalp,{'T023'}
Itchy skin,10023094,Itchy skin,C0033774,Itchy skin,{'T033'}
Jaundice,10023126,Jaundice,C0022346,Jaundice,{'T184'}
Jaw fracture,10023149,fracture,C0016658,fracture,{'T037'}
Jaw fracture,10023149,Jaw,C0022359,Jaw,{'T023'}
Jaw spasm,10023158,spasm,C0037763,spasm,{'T184'}
Jaw spasm,10023158,Jaw,C0022359,Jaw,{'T023'}
Jaw stiffness,10023161,stiffness,C0427008,stiffness,{'T184'}
Jaw stiffness,10023161,Jaw,C0022359,Jaw,{'T023'}
Jitteriness,10023191,Jitteriness,C0549209,Jitteriness,{'T184'}
Joint ache,10023197,ache,C0234238,ache,{'T184'}
Joint dislocation,10023204,Joint dislocation,C0012691,Joint dislocation,{'T037'}
Joint inflammation,10023217,Joint inflammation,C0574941,Joint inflammation,{'T033'}
Joint injury,10060820,injury,C3263723,injury,{'T037'}
Joint instability,10064931,Joint instability,C0022410,Joint instability,{'T033'}
Joint lock,10061258,Joint lock,C0547000,joint lock,{'T033'}
Joint pain,10023222,Joint pain,C0003862,Joint pain,{'T184'}
Joint stiffness,10023230,Joint stiffness,C0162298,Joint stiffness,{'T184'}
Joint swelling,10023232,Joint swelling,C0152031,Joint swelling,{'T033'}
Joint warmth,10054106,warmth,C0392197,warmth,{'T039'}
Judgement impaired,10023236,Judgement,C0022423,Judgement,{'T041'}
Kidney cancer,10023400,Kidney cancer,C1378703,Kidney cancer,{'T191'}
Kidney failure,10023418,Kidney,C0022646,Kidney,{'T023'}
Kidney infection,10023424,Kidney infection,C0034186,Kidney infection,{'T047'}
Kidney pain,10023432,Kidney pain,C0558489,Kidney pain,{'T184'}
Kidney stone,10023436,Kidney,C0022646,Kidney,{'T023'}
Kidney stone,10023436,stone,C0456824,stoned,{'T037'}
Kidney stone attack,10072214,Kidney,C0022646,Kidney,{'T023'}
Kidney stone attack,10072214,attack,C1304680,attack,{'T033'}
Kidney stone attack,10072214,stone,C0456824,stoned,{'T037'}
Kidney stones,10023437,Kidney stones,C0022650,Kidney stones,{'T047'}
Knee arthritis,10067624,arthritis,C0003864,arthritis,{'T047'}
Knee arthritis,10067624,Knee,C0022742,Knee,{'T023'}
Knee pain,10023477,Knee pain,C0231749,Knee pain,{'T184'}
Lack of coordination,10023609,Lack of coordination,C0520966,Lack of coordination,{'T033'}
Lack of drug effect,10023610,drug effect,C0728867,drug effect,{'T046'}
Lack of motivation,10023614,Lack of motivation,C0456814,Lack of motivation,{'T033'}
Lactose intolerance,10023681,Lactose intolerance,C0022951,Lactose intolerance,{'T047'}
Laryngitis,10023874,Laryngitis,C0001327,Laryngitis,{'T047'}
Leg cramps,10024125,Leg cramps,C0023218,Leg cramps,{'T184'}
Leg discomfort,10054246,discomfort,C2364135,discomfort,{'T184'}
Leg discomfort,10054246,Leg,C0023216,Leg,{'T023'}
Leg fracture,10024128,fracture,C0016658,fracture,{'T037'}
Leg fracture,10024128,Leg,C0023216,Leg,{'T023'}
Leg infection,10073287,infection,C0009450,infection,{'T047'}
Leg infection,10073287,Leg,C0023216,Leg,{'T023'}
Leg ulcer,10068310,ulcer,C0041582,ulcer,{'T046'}
Leg ulcer,10068310,Leg,C0023216,Leg,{'T023'}
Lethargic,10024262,Lethargic,C0023380,Lethargic,{'T184'}
Lethargy,10024264,Lethargy,C0023380,Lethargy,{'T184'}
Libido decreased,10024419,Libido decreased,C0011124,Libido decreased,{'T033'}
Libido increased,10024421,Libido increased,C0021177,Libido increased,{'T184'}
Light periods,10024462,periods,C0025344,periods,{'T040'}
Light periods,10024462,Light,C3842678,Light,{'T033'}
Light sensitivity to eye,10065946,Light,C3842678,Light,{'T033'}
Light sensitivity to eye,10065946,eye,C0015392,eye,{'T023'}
Light sensitivity to eye,10065946,sensitivity,C0237677,insensitivity,{'T033'}
Light-headed,10024490,Light,C3842678,Light,{'T033'}
Lightheadedness,10024492,Lightheadedness,C0012833,Lightheadedness,{'T184'}
Limb discomfort,10061224,discomfort,C2364135,discomfort,{'T184'}
Limb discomfort,10061224,Limb,C0015385,Limb,{'T023'}
Limb injury,10061225,injury,C3263723,injury,{'T037'}
Limb injury,10061225,Limb,C0015385,Limb,{'T023'}
Limbs stiffness,10024509,stiffness,C0427008,stiffness,{'T184'}
Limbs stiffness,10024509,Limbs,C0015385,Limbs,{'T023'}
Limping,10058726,Limping,C1456822,Limping,{'T033'}
Lip blister,10049307,blister,C0344311,blister,{'T033'}
Lip blister,10049307,Lip,C0023759,Lip,{'T023'}
Lip dry,10024552,Lip,C0023759,Lip,{'T023'}
Lip pain,10024561,Lip pain,C0267028,Lip pain,{'T184'}
Lip redness,10024564,redness,C0332575,redness,{'T033'}
Lip redness,10024564,Lip,C0023759,Lip,{'T023'}
Lip soreness,10024569,soreness,C0234233,soreness,{'T184'}
Lip soreness,10024569,Lip,C0023759,Lip,{'T023'}
Lip swelling,10024570,Lip swelling,C0240211,Lip swelling,{'T184'}
Lipoma,10024612,Lipoma,C0023798,Lipoma,{'T191'}
Listless,10024642,Listless,C0023380,Listless,{'T184'}
Listlessness,10024643,Listlessness,C0085632,listlessness,{'T048'}
Liver enlargement,10024676,enlargement,C0020564,enlargement,{'T046'}
Liver enlargement,10024676,Liver,C0023884,Liver,{'T023'}
Liver failure,10024678,Liver failure,C0085605,Liver failure,{'T047'}
Liver pain,10024703,Liver pain,C0522067,Liver pain,{'T184'}
Lockjaw,10024793,Lockjaw,C0343495,Lockjaw,{'T033'}
Loose bowels,10024838,bowels,C0021853,bowels,{'T023'}
Loose stools,10024840,Loose stools,C0011991,Loose stools,{'T184'}
Loose tooth,10065612,Loose tooth,C0600028,Loose tooth,{'T033'}
Loss of all pleasure,10024852,pleasure,C0679105,pleasure,{'T041'}
Loss of confidence,10024854,confidence,C0237529,confidence,{'T041'}
Loss of consciousness,10024855,Loss of consciousness,C0041657,Loss of consciousness,{'T033'}
Loss of control of legs,10024860,legs,C1140621,legs,{'T023'}
Loss of energy,10024862,energy,C0424589,energy,{'T033'}
Loss of interest,10024867,Loss of interest,C0424091,Loss of interest,{'T033'}
Loss of libido,10024870,libido,C0023618,libido,{'T041'}
Loss of sensation,10024874,sensation,C0542538,sensation,{'T033'}
Loss of smell,10024877,smell,C0037361,smell,{'T040'}
Loss of taste,10024878,Loss of taste,C2364111,loss of taste,{'T184'}
Loss of vision,10024881,Loss of vision,C3665346,Loss of vision,{'T184'}
Loss of voice,10024882,Loss of voice,C0003564,Loss of voice,{'T184'}
Loss of weight,10024883,Loss of weight,C1262477,Loss of weight,{'T033'}
Lost consciousness,10024885,consciousness,C0009791,consciousness,{'T033'}
Lost weight,10024886,weight,C1305866,weight,{'T058'}
Low back pain,10024891,Low back pain,C0024031,Low back pain,{'T184'}
Low birth weight baby,10067508,Low birth weight,C0024032,Low birth weight,{'T033'}
Low blood pressure,10024895,Low blood pressure,C0020649,Low blood pressure,{'T033'}
Lower abdominal pain,10024940,abdominal pain,C0000737,abdominal pain,{'T184'}
Lower abdominal pain,10024940,Lower,C1548802,Lower,{'T029'}
Lower gastrointestinal bleeding,10071838,gastrointestinal bleeding,C0017181,gastrointestinal bleeding,{'T046'}
Lower gastrointestinal bleeding,10071838,Lower,C1548802,Lower,{'T029'}
Lower respiratory tract infection,10024968,Lower respiratory tract infection,C0149725,Lower respiratory tract infection,{'T047'}
Lumbar pain,10024998,Lumbar,C0024090,Lumbar,{'T029'}
Lumbar pain,10024998,pain,C0030193,pain,{'T184'}
Lump feeling in throat,10051196,feeling,C1527305,feeling,{'T041'}
Lump feeling in throat,10051196,throat,C0031354,throat,{'T023'}
Lung cancer,10025044,Lung cancer,C0684249,Lung cancer,{'T191'}
Lung congestion,10025079,congestion,C0700148,congestion,{'T046'}
Lung congestion,10025079,Lung,C0024109,Lung,{'T023'}
Lung infection,10061229,Lung infection,C0876973,Lung infection,{'T047'}
Lyme disease,10025169,Lyme disease,C0024198,Lyme disease,{'T047'}
Lymph node pain,10025182,Lymph node pain,C0578050,Lymph node pain,{'T184'}
Lymph nodes enlarged,10025186,Lymph nodes,C0024204,Lymph nodes,{'T023'}
Lymph nodes enlarged,10025186,enlarged,C1293134,Enlarged,{'T061'}
Lymphoma,10025310,Lymphoma,C0024299,Lymphoma,{'T191'}
Malabsorption,10025476,Malabsorption,C0024523,Malabsorption,{'T047'}
Malnutrition,10061273,Malnutrition,C0162429,Malnutrition,{'T047'}
Mania,10026749,Mania,C0338831,Mania,{'T048'}
Manic,10026752,Manic,C0338831,Manic,{'T048'}
Measles,10027011,Measles,C0025007,Measles,{'T047'}
Medication stuck in throat,10064940,Medication,C0013227,Medication,{'T121'}
Medication stuck in throat,10064940,throat,C0031354,throat,{'T023'}
Memory impairment,10027175,Memory impairment,C0233794,Memory impairment,{'T048'}
Memory loss,10027176,Memory loss,C0751295,Memory loss,{'T184'}
Meniere's disease,10027183,Meniere's disease,C0025281,Meniere's disease,{'T047'}
Meningioma,10027191,Meningioma,C0025286,Meningioma,{'T191'}
Meningitis,10027199,Meningitis,C0025289,Meningitis,{'T047'}
Menopausal symptoms,10027304,Menopausal,C0025320,Menopausal,{'T039'}
Menopausal symptoms,10027304,symptoms,C1457887,symptom,{'T184'}
Menstrual cramps,10027324,Menstrual cramps,C0013390,Menstrual cramps,{'T047'}
Mental disorder,10061284,disorder,C0012634,disorder,{'T047'}
Mental disorder,10061284,Mental,C2328206,Mentale,{'T029'}
Mental dullness,10027371,dullness,C0541911,dullness,{'T033'}
Mental dullness,10027371,Mental,C2328206,Mentale,{'T029'}
Mental impairment,10027374,Mental impairment,C0683322,Mental impairment,{'T048'}
Metastases to bone,10027452,Metastases,C0027627,Metastases,{'T191'}
Metastases to bone,10027452,bone,C0262950,bone,{'T023'}
Metastases to liver,10027457,Metastases,C0027627,Metastases,{'T191'}
Metastases to liver,10027457,liver,C0023884,liver,{'T023'}
Metastases to spine,10027468,Metastases,C0027627,Metastases,{'T191'}
Metastases to spine,10027468,spine,C0037949,spine,{'T023'}
Middle ear infection,10027585,Middle ear infection,C0029882,Middle ear infection,{'T047'}
Migraine,10027599,Migraine,C0149931,Migraine,{'T047'}
Migraine headache,10027602,Migraine headache,C0149931,Migraine headache,{'T047'}
Migraine with aura,10027607,Migraine with aura,C0154723,Migraine with aura,{'T047'}
Miscarriage,10027649,Miscarriage,C0000786,Miscarriage,{'T046'}
Mitral valve disease,10061532,Mitral valve disease,C0026265,Mitral valve disease,{'T047'}
Mitral valve incompetence,10027727,Mitral valve,C0026264,Mitral valve,{'T023'}
Mitral valve incompetence,10027727,incompetence,C0231189,incompetence,{'T046'}
Mitral valve prolapse,10027730,Mitral valve prolapse,C0026267,Mitral valve prolapse,{'T047'}
Mobility decreased,10048334,decreased,C0442797,decreased,{'T033'}
Mobility decreased,10048334,Mobility,C0080078,Mobility,{'T201'}
Mole of skin,10027806,Mole,C0027960,Mole,{'T191'}
Mood change,10027941,Mood,C0026516,Mood,{'T041'}
Mood swings,10027951,Mood swings,C0085633,Mood swings,{'T048'}
Moon face,10027953,Moon face,C0332601,Moon face,{'T184'}
Morbid thoughts,10050464,thoughts,C0039869,Thoughts,{'T041'}
Mouth abscess,10028015,abscess,C0000833,abscess,{'T047'}
Mouth abscess,10028015,Mouth,C0230028,Mouth,{'T029'}
Mouth bleeding,10071840,bleeding,C0019080,bleeding,{'T046'}
Mouth bleeding,10071840,Mouth,C0230028,Mouth,{'T029'}
Mouth irritation,10028026,Mouth,C0230028,Mouth,{'T029'}
Mouth irritation,10028026,irritation,C1706307,Irritation,{'T033'}
Mouth pain,10028030,Mouth pain,C0221776,Mouth pain,{'T184'}
Mouth swelling,10075203,swelling,C0038999,swelling,{'T033'}
Mouth swelling,10075203,Mouth,C0230028,Mouth,{'T029'}
Mouth ulcer,10028033,Mouth ulcer,C0149745,Mouth ulcer,{'T047'}
Mouth ulceration,10028034,ulceration,C0041582,ulceration,{'T046'}
Mouth ulceration,10028034,Mouth,C0230028,Mouth,{'T029'}
Movements abnormal,10028039,Movements,C0026649,Movements,{'T040'}
Movements abnormal,10028039,abnormal,C0205161,abnormal,{'T033'}
Movements involuntary,10028041,Movements involuntary,C0427086,Movements involuntary,{'T184'}
Movements reduced,10028045,Movements,C0026649,Movements,{'T040'}
Mucosal dryness,10028111,Mucosal,C1561514,Mucosa,{'T170'}
Mucosal inflammation,10028116,inflammation,C0021368,inflammation,{'T046'}
Mucosal inflammation,10028116,Mucosal,C1561514,Mucosa,{'T170'}
Mucous stools,10028140,stools,C0015733,stools,{'T031'}
Mucus stools,10064843,stools,C0015733,stools,{'T031'}
Mucus stools,10064843,Mucus,C0026727,Mucus,{'T031'}
Multi-organ failure,10028154,Multi-organ failure,C0026766,Multi-organ failure,{'T046'}
Multiple allergies,10028164,allergies,C0020517,allergies,{'T046'}
Multiple fractures,10028200,Multiple fractures,C0016655,Multiple fractures,{'T037'}
Multiple injuries,10028224,injuries,C3263723,injuries,{'T037'}
Multiple sclerosis,10028245,Multiple sclerosis,C0026769,Multiple sclerosis,{'T047'}
Muscle ache,10028287,Muscle ache,C0231528,Muscle ache,{'T184'}
Muscle cramp,10028294,Muscle cramp,C4552638,Muscle cramp,{'T033'}
Muscle discomfort,10028299,discomfort,C2364135,discomfort,{'T184'}
Muscle discomfort,10028299,Muscle,C4083049,Muscle,{'T023'}
Muscle fatigue,10049565,Muscle fatigue,C0242979,Muscle fatigue,{'T033'}
Muscle inflammation,10028313,Muscle inflammation,C0027121,Muscle inflammation,{'T047'}
Muscle injury,10028314,Muscle,C4083049,Muscle,{'T023'}
Muscle injury,10028314,injury,C3263723,injury,{'T037'}
Muscle pain,10028322,Muscle pain,C0231528,Muscle pain,{'T184'}
Muscle rigidity,10028330,Muscle rigidity,C0026837,Muscle rigidity,{'T184'}
Muscle rupture,10028331,rupture,C3203359,rupture,{'T037'}
Muscle rupture,10028331,Muscle,C4083049,Muscle,{'T023'}
Muscle soreness,10028332,soreness,C0234233,soreness,{'T184'}
Muscle soreness,10028332,Muscle,C4083049,Muscle,{'T023'}
Muscle spasm,10028333,Muscle spasm,C0037763,Muscle spasm,{'T184'}
Muscle stiffness,10028339,Muscle stiffness,C0221170,Muscle stiffness,{'T184'}
Muscle strain,10050031,Muscle strain,C0080194,Muscle strain,{'T037'}
Muscle tightness,10049816,Muscle tightness,C0877322,Muscle tightness,{'T047'}
Muscle twitching,10028347,twitching,C0231530,twitching,{'T033'}
Muscle twitching,10028347,Muscle,C4083049,Muscle,{'T023'}
Muscle wasting,10028348,Muscle wasting,C0026846,Muscle wasting,{'T046'}
Muscle weakness,10028350,Muscle weakness,C0151786,Muscle weakness,{'T184'}
Muscle weakness lower limb,10065776,Muscle weakness lower limb,C1836296,Muscle weakness lower limb,{'T033'}
Muscular weakness,10028372,Muscular weakness,C0151786,Muscular weakness,{'T184'}
Musculoskeletal discomfort,10053156,Musculoskeletal,C2707260,Musculoskeletal,{'T201'}
Musculoskeletal discomfort,10053156,discomfort,C2364135,discomfort,{'T184'}
Myocardial infarction,10028596,Myocardial infarction,C0027051,Myocardial infarction,{'T047'}
Nail discoloration,10028691,Nail discoloration,C0221345,Nail discoloration,{'T033'}
Nail discolouration,10028692,discolouration,C0332572,discolouration,{'T033'}
Nail discolouration,10028692,Nail,C0027342,Nail,{'T023'}
Narcolepsy,10028713,Narcolepsy,C0027404,Narcolepsy,{'T047'}
Nasal congestion,10028735,Nasal congestion,C0027424,Nasal congestion,{'T184'}
Nasal dryness,10028740,Nasal,C0028429,Nasal,{'T023'}
Nasal mucus increased,10056364,Nasal mucus,C0225392,Nasal mucus,{'T031'}
Nasal mucus increased,10056364,increased,C0151576,increased ck,{'T033'}
Nasal stuffiness,10028771,Nasal stuffiness,C0027424,Nasal stuffiness,{'T184'}
Nausea,10028813,Nausea,C0027497,Nausea,{'T184'}
Nauseated,10028822,Nauseated,C0027497,nauseated,{'T184'}
Nauseous,10028823,Nauseous,C0027497,nauseous,{'T184'}
Near fainting,10066202,fainting,C0039070,fainting,{'T184'}
Neck cramps,10028828,Neck cramps,C0795701,Neck cramps,{'T184'}
Neck discomfort,10028831,discomfort,C2364135,discomfort,{'T184'}
Neck discomfort,10028831,Neck,C0027530,Neck,{'T029'}
Neck injury,10062211,injury,C3263723,injury,{'T037'}
Neck injury,10062211,Neck,C0027530,Neck,{'T029'}
Neck mass,10049146,Neck,C0027530,Neck,{'T029'}
Neck mass,10049146,mass,C0577559,mass,{'T033'}
Neck pain,10028836,Neck pain,C0007859,Neck pain,{'T184'}
Neck swelling,10049568,swelling,C0038999,swelling,{'T033'}
Neck swelling,10049568,Neck,C0027530,Neck,{'T029'}
Negative thoughts,10058672,Negative,C0205160,Negative,{'T033'}
Negative thoughts,10058672,thoughts,C0039869,Thoughts,{'T041'}
Nerve injury,10052897,injury,C3263723,injury,{'T037'}
Nerve injury,10052897,Nerve,C0027740,Nerve,{'T023'}
Nerve pain,10029181,Nerve,C0027740,Nerve,{'T023'}
Nerve pain,10029181,pain,C0030193,pain,{'T184'}
Nervous,10029197,Nervous,C0027769,Nervous,{'T184'}
Nervousness,10029216,Nervousness,C0027769,Nervousness,{'T184'}
Neuralgia,10029223,Neuralgia,C0027796,Neuralgia,{'T184'}
Nicotine addiction,10056478,Nicotine addiction,C0028043,Nicotine addiction,{'T048'}
Nicotine dependence,10057852,dependence,C0439857,dependence,{'T048'}
Nicotine dependence,10057852,Nicotine,C0202431,Nicotine,{'T059'}
Night sweats,10029410,Night sweats,C0028081,Night sweats,{'T184'}
Night terrors,10029411,Night terrors,C0037320,Night terrors,{'T048'}
Nightmare,10029412,Nightmare,C0028084,Nightmare,{'T184'}
Nightmares,10029414,Nightmares,C0028084,Nightmares,{'T184'}
Nipple pain,10029421,Nipple pain,C0240515,Nipple pain,{'T184'}
No drug effect,10029437,drug effect,C0728867,drug effect,{'T046'}
Nocturnal leg muscle cramps,10029456,leg muscle cramps,C0023218,leg muscle cramps,{'T184'}
Nodule on extremity,10050690,extremity,C0015385,extremity,{'T023'}
Non-cardiac chest pain,10062501,Non-cardiac chest pain,C0476281,Non-cardiac chest pain,{'T184'}
Non-Hodgkin's lymphoma,10029547,Hodgkin's lymphoma,C0019829,Hodgkin's lymphoma,{'T191'}
Nose bleed,10029792,bleed,C0019080,bleed,{'T046'}
Nose bleed,10029792,Nose,C0028429,Nose,{'T023'}
